GUID|SESAME|CREATOR|AFFILIATION|TITLE|RESOURCE LANGUAGE|METADATA LANGUAGE|DATE|CITATION|EDUCATIONAL DESCRIPTION|TECHNICAL DESCRIPTION|EDUCATIONAL CONTEXT|EDUCATIONAL INSTRUCTIONS|EDUCATIONAL OBJECTIVES|ASSESSMENT METHODS|EDUCATIONAL PREREQUISITES
1976||Álvaro Salvá||Stroke Alert Case 9|English|English||||||||||
1983||Álvaro Salvá||Stroke Alert Case 43|English|English||||||||||
1990||Álvaro Salvá||Stroke Alert Case 8|English|English||||||||||
1997||Álvaro Salvá||Stroke Alert Case 25|English|English||||||||||
2004||Álvaro Salvá||Stroke Alert Case 46|English|English||||||||||
2011||Álvaro Salvá||Stroke Alert Case 21|English|English||||||||||
2018||Álvaro Salvá||Stroke Alert Case 1|English|English||||||||||
2025||Álvaro Salvá||Stroke Alert Case 2|English|English||||||||||
2032||Álvaro Salvá||Stroke Alert Case 3|English|English||||||||||
2045||Álvaro Salvá||Stroke Alert Case 4|English|English||||||||||
2052||Álvaro Salvá||Stroke Alert Case 5|English|English||||||||||
2059||Álvaro Salvá||Stroke Alert Case 6|English|English||||||||||
2066||Álvaro Salvá||Stroke Alert Case 7|English|English||||||||||
2073||Álvaro Salvá||Stroke Alert Case 10|English|English||||||||||
2101||Charalampos Bratsas||PE massive therapy Gossage|English|English|2010-05-05|||YES||YES|YES|YES|YES|
2108||Charalampos Bratsas||Wascher based a classification of knee dislocation on the high-velocity injury to the knee ligaments|English|English|2010-05-06|||YES||YES|YES|||
2115||Charalampos Bratsas||tetanus prophylaxis as part of wound management|English|English|2010-05-06|||YES||YES|YES|||
2122||Charalampos Bratsas||acid base balance|English|English|2010-05-06|||YES||YES|YES|||
2130||Athos Antoniades||Μελέτη - Ανάπτυξη και Αξιολόγηση Ολοκληρωμένου Συστήματος Ψηφιακής Ανάλυσης Ενδοσκοπικής Εικόνας Μακροβιοψίας για την Υποστήριξη διάγνωσης γυναικολογικού Καρκίνου|Greek|Greek|2009-05-01||YES|YES|YES||YES|||
2144||Stathis Konstantinidis|aristotle university of thessaloniki|An e-learning platform for Aerospace Medicine|English|English|2008-09-24|YES|YES|YES|YES|YES|YES|YES|YES|
2151||Stathis Konstantinidis|aristotle university of thessaloniki|Informatics-based Medical Procedure Assistance during Space Missions|English|English|2008-09-24|YES|YES|YES|YES|YES|YES|YES|YES|
2165||Charalampos Bratsas||ECG short term risk acute myocardial infarction|English|English|2010-05-06|||YES||YES|YES|||
2172||Charalampos Bratsas||Dynamic Prognostic Profile for Acute Myocardial Infarction|English|English|2010-05-06|||||YES||||
2179||Athos Antoniades||E-learning System for Training Doctors the basics of Health Telematics|Greek|English|2010-02-21||YES|YES|YES|YES|YES|YES|YES|
2186||Charalampos Bratsas||Efavirenz Dose Reduction in an HIV-1 Infected Patient Based on CYP2B6 Genotype|English|English|2010-05-06|||YES||YES||||
2200||Charalampos Bratsas||Boston Criteria for the Diagnosis of Congestive Heart Failure|English|English|2010-05-06|||YES||||||
2208||Athos Antoniades||M-Health, e-Emergency Systems and Services|English|English|2008-05-15||YES|YES|YES|YES|YES|||
2217||Stathis Konstantinidis|aristotle university of thessaloniki|Η ΔΙΑΣΦΑΛΙΣΗ ΤΗΣ ΠΟΙΟΤΗΤΑΣ ΤΗΣ ΙΑΤΡΙΚΗΣ ΠΛΗΡΟΦΟΡΙΑΣ ΣΤΟ ΔΙΑΔΙΚΤΥΟ|Greek|English|2009-10-08|||YES||YES|YES|YES|YES|
2224||Athos Antoniades||COMPUTER-AIDED DIAGNOSIS SYSTEMS: Ultrasound Image Analysis using Despeckle Filtering and Segmentation|English|English|||YES|YES|YES|YES|YES|||
2231||Teodor Stefanut|UTCN|Tehnici de adnotare grafica in eLearning|Romanian|English|2008-08-14||YES|YES|YES|YES|YES|||
2238||Laurent Auneau|succubus interactive|Happy Night Episode 1|English|English|2009-06-01||YES|YES|YES|YES|||YES|
2245||Stathis Konstantinidis|aristotle university of thessaloniki|Educational Standards|Greek|English|2009-11-10||YES|YES||||||
2252||Evangelia Mitsopoulou||Florian|English|English|2010-01-02||YES|YES|YES|||||
2259||Evangelia Mitsopoulou||Anna-Lena Olofsson, Linear Virtual Patient|English|English|2010-01-02||YES|YES|YES|||||
2266||Evangelia Mitsopoulou||Anna-Lena Olofsson Branched Virtual Patient|English|English|2010-01-02||YES|YES|YES|||||
2273||Evangelia Mitsopoulou||Oga Linear Virtual Patient|English|English|2010-01-02||YES|YES|YES|||||
2280||Evangelia Mitsopoulou||Oga Branched  Virtual Patient|English|English|2010-01-02||YES|YES|YES|||||
2287||Evangelia Mitsopoulou||Florian Brabched Virtual Patient|English|English|2010-01-02||YES|YES|YES|||||
2294||Evangelia Mitsopoulou||John M Linear Virtual Patient|English|English|2010-01-02||YES|YES|YES|||||
2302||Teodor Stefanut|UTCN|Graphics Annotation Usability in eLearning Applications|English|English|2007-05-10||YES|YES|YES|YES|YES|||
2309||Ploumis Passadakis|Array|Introduction to Hemodialysis and Peritoneal Dialysis|Greek|English|2007-04-19||YES|YES|YES|YES|YES|YES|YES|
2316||Evangelia Mitsopoulou||John M Branched Virtual Patient|English|English|2010-01-02||YES|YES|YES|||||
2323||Evangelia Mitsopoulou||Catherine Miller Linear Virtual Patient|English|English|2010-01-02||YES|YES|YES|||||
2330||Evangelia Mitsopoulou||Catherine Miller Branched Virtual Patient|English|English|2010-01-02||YES|YES|YES|||||
2337||Evangelia Mitsopoulou||Heart Anatomy|English|English|2006-04-10||YES|YES||YES||||
2344||Evangelia Mitsopoulou||Heart Structure|English|English|2010-04-10||YES|YES||||||
2351||Evangelia Mitsopoulou||Muscles|||2010-04-10||YES|YES||||||
2358||Jarkko Mylläri|university of helsinki|The Elementaries of SPSS 15.0 statistical analysis software - Introduction to the interface|Finnish|English|2008-09-15||YES||YES|YES|YES||YES|
2365||Jarkko Mylläri|university of helsinki|The Elementaries of SPSS 15.0 statistical analysis software - Basics of entering variables and data|Finnish|English|2008-09-15||YES|YES|YES|YES|YES||YES|
2372||Jarkko Mylläri|university of helsinki|The Elementaries of SPSS 15.0 statistical analysis software - Basic analyses of frequencies and means|Finnish|English|2008-09-15||YES|YES|YES|YES|YES||YES|
2379||Jarkko Mylläri|university of helsinki|The Elementaries of SPSS 15.0 statistical analysis software - Basic analyses with crosstabulation|Finnish|English|2008-09-15||YES|YES|YES|YES|YES||YES|
2386||Jarkko Mylläri|university of helsinki|The Elementaries of SPSS 15.0 statistical analysis software - Basic graphics I|Finnish|English|2008-09-15||YES|YES|YES|YES|YES||YES|
2393||Jarkko Mylläri|university of helsinki|The Elementaries of SPSS 15.0 statistical analysis software - Basic graphics II|Finnish|English|2010-09-15||YES|YES|YES|YES|YES||YES|
2401||Teodor Stefanut|UTCN|Knowledge Assessment Based on Evaluation of 3D Graphics Annotation in Lesson Context|English|English|2008-07-16||YES|YES|YES|YES|YES||YES|
2415||paola campione||Pleuriti e versamenti pleurici|Italian|Italian|||YES|YES||||||
2422||Teodor Stefanut|UTCN|The pancreas - overview|English|English|2009-11-10||YES|YES|YES|YES|YES|||
2429||Pascal Staccini|university of nice-sophia antipolis|Biostatistics for epidemiology|French|English|2010-03-05||YES|YES|YES|||||
2436||Pascal Staccini|university of nice-sophia antipolis|Stomach cancer|French|English|2006-05-31||YES|YES|||YES|||
2448||Eleni Kaldoudi|Democritus university of Thrace, School of Medicine|Physical Principles of Magnetic Resonance Imaging|Greek|English|2004-04-01|YES|YES|YES|YES|YES|||YES|
2464||Daniela Giordano|university of catania|collection of 100 LL skull x-rays annotated with cephalometric tracings|English|English|2006-05-01|YES|YES|YES||||||
2471||Daniela Giordano|university of catania|collection of 56 LL skull x-rays landmarked with cephalomteric points||English|2009-11-03|YES|YES|YES||||||
2478||Manuela Pennisi||Linee Guida Italiane di Prevenzione e Trattamento Ictus Cerebrale|Italian|English|2007-01-26||YES|||||||
2485||Manuela Pennisi||The Italian guidelines for stroke prevention and management|English|English||||||||||
2492||Daniela Giordano|university of catania|Collection of 16 Postero Anterior skull x-rays landmarked with cephalometric points||English|2009-11-03|YES|YES|YES||||||
2499||Daniela Giordano|university of catania|Diagnosis of the Long Face syndrome|English|English|2010-05-08||YES|YES||||||
2506||Manuela Pennisi||Strategie Terapeutiche delle Cefalee Primarie|Italian|English|2007-10-25||YES||YES|||||
2513||Manuela Pennisi||Stimolazione Magnetica Transcranica|Italian|English|2009-10-14||YES||YES|||||
2520||Manuela Pennisi||Revised Criteria of the rhCNTF ALS Group for the Diagnosis of Amyotrophic Lateral Sclerosis|English|English|2010-05-08||YES|YES||||||
2527||Manuela Pennisi||Criteri per la diagnosi ALS|English||2010-05-08||YES|||||||
2534||Stathis Konstantinidis|aristotle university of thessaloniki|Distance (online) Medical Education|Greek|English|2008-10-28|YES|YES|YES|YES|YES|YES|YES|YES|
2541||Stathis Konstantinidis|aristotle university of thessaloniki|The therapeutic Benefits of Gravity in Space and on Earth|English|English||YES|YES|YES|YES|||||
2548||Stathis Konstantinidis|aristotle university of thessaloniki|Biomedical real-time monitoring in restricted and safety-critical environments|English|English|2009-09-24|YES|YES|YES|YES|||||
2555||Stathis Konstantinidis|aristotle university of thessaloniki|High altitude cognitive performance and COPD interaction|English|English|2009-09-24|YES|YES|YES||||||
2562||Eleni Dafli||Chest pain virtual patient|English|English|2010-05-08|||YES|YES|YES|YES||YES|
2569||Manuela Pennisi||The Anamnestic and Clinical Dysfunction Indices of Helkimo for Disorders of the Temporomandibular Joint and Masticatory System|English|English|2010-05-07||YES|YES||||||
2576||Manuela Pennisi||Indications and Contraindications of Going for Arthroscopic Management of Temporomandibular Joint Disease|English|English|2010-05-08||YES|YES||||||
2583||Eleni Kaldoudi|Democritus university of Thrace, School of Medicine|An Introduction to DICOM Standard|English|English|2008-03-01|YES|YES|YES|YES|YES|||YES|
2590||Eleni Kaldoudi|Democritus university of Thrace, School of Medicine|DICOM Standard: An Introduction in SCORM||||||||||||
2597||Eleni Kaldoudi|Democritus university of Thrace, School of Medicine|Information and Communication Technologies in Surgery (~7000 words notes)|Greek|English|2007-01-09|YES|YES|YES|YES|YES||||
2604||Eleni Kaldoudi|Democritus university of Thrace, School of Medicine|Information and Communication Technologies in Surgery (Lecture Slides)|Greek|English|2010-02-23|YES|YES|YES|YES|||||
2611||Eleni Kaldoudi|Democritus university of Thrace, School of Medicine|Nuclear Magnetic Resonance Physics for Molecular Biologists (lecture)|Greek|English|2010-01-18|YES|YES||YES|||||
2618||Stathis Konstantinidis|aristotle university of thessaloniki|Use of elearning environment for Greek Smoking Cessation Network|Greek|English|2009-05-21|YES|YES|YES|YES|YES|YES|YES|YES|
2625||Stathis Konstantinidis|aristotle university of thessaloniki|Use of Greek Smoking Cessation Network EHR platform|Greek|English|2009-05-21|YES|YES|YES|YES|YES|YES|YES|YES|
2632||Stathis Konstantinidis|aristotle university of thessaloniki|The use of Open Source and Web2.0 in developing an Integrated EHR and e-learning System for the Greek Smoking Cessation Network|English|English|2009-08-17|YES|YES|YES|YES|YES|YES|YES|YES|
2639||Stathis Konstantinidis|aristotle university of thessaloniki|Creation of a Smoking Cessation Network|Greek|English|2009-09-23|YES|YES|YES|YES|YES|YES|YES|YES|
2647||Stathis Konstantinidis|aristotle university of thessaloniki|Simulating human space physiology with bed rest|English|English|2008-09-24|YES|YES|YES|YES|YES|YES|YES|YES|
2656||Stathis Konstantinidis|aristotle university of thessaloniki|Legal Background of Aviation Medicine in Europe and its future development|English|English|2008-09-24|YES|YES|YES|YES|YES|YES|YES|YES|
2665||Stathis Konstantinidis|aristotle university of thessaloniki|Future aeromedical assessment in general aviation: a contribution to the actual discussion|English|English|2008-09-24|YES|YES|YES|YES|YES|YES||YES|
2672||Stathis Konstantinidis|aristotle university of thessaloniki|A research facility for habitation questions to be built at the German Aerospace Center in Cologne: future challenges of Space medicine|English|English|2008-09-24|YES|YES|YES|YES|YES|YES|||
2681||Manuela Pennisi||EEG Changes of Haider et al in Sedative Overdosage and Coma|English|English|2010-01-25||YES|YES|YES|||||
2688||Manuela Pennisi||The OMENS (Orbit, Mandible, Ear, Nerve, Soft Tissue) Classification for Hemifacial Microsomia|English|English|2010-01-25||YES|YES||||||
2717||Laurent Auneau|succubus interactive|Happy Night episode 2|English|English|2009-09-01||YES|YES|YES|YES|||YES|
2724||Laurent Auneau|succubus interactive|Virtual Kitchen|French|English|2004-05-03||YES|YES|||||YES|
2731||Laurent Auneau|succubus interactive|Massif Facial|French|English|2003-05-05|||||||||
2738||Eleni Kaldoudi|Democritus university of Thrace, School of Medicine|Πυρηνικός Μαγνητικός Συντονισμός: Φασματοσκοπία και Απεικόνιση (σημειώσεις)|Greek|English|2009-12-01|YES|YES|YES|YES|||||
2745||Eleni Kaldoudi|Democritus university of Thrace, School of Medicine|Molecular Imaging Techniques (presentation)|English|English|2005-04-18|YES|YES|YES|YES|YES||||
2752||Stathis Konstantinidis|aristotle university of thessaloniki|Electronic Health Records|Greek|English|2008-02-11|YES|YES|YES|YES|YES|YES|YES|YES|
2759||Stathis Konstantinidis|aristotle university of thessaloniki|Term diagrams for Medicine|Greek|English|2008-02-24|YES|YES|YES|YES|YES|YES|YES|YES|
2766||Jarkko Mylläri|university of helsinki|ECG Patient case 1005a limb and chest leads||en|2010-04-19||YES|YES|YES||YES|||
2773||Jarkko Mylläri|university of helsinki|ECG Patient case 1005a limb leads||English|2010-04-19||YES|YES|YES||YES|||
2780||Jarkko Mylläri|university of helsinki|ECG Patient case 1005a chest leads||English|2010-04-19||YES|YES|YES|YES|YES|||
2787||Jarkko Mylläri|university of helsinki|ECG Patient case 1005a description||English|2010-04-19||YES|YES|YES|YES|YES|||
2794||Teodor Stefanut|UTCN|Boli metabolice (guta si gigantismul)|Romanian|English|2009-11-11||YES|YES|YES|YES|YES|||
2801||Victor Bacu||Eye - introductory lesson|English|English|2009-01-08||YES|YES|YES|YES|YES|||
2815||Denisa Rodila||Bolile pancreasului|Romanian|Romanian|2010-04-12||YES|YES|YES|YES|YES|||
2822||Denisa Rodila||Human eye|English|English|2010-03-16||YES|YES|YES|YES|YES|||
2829||Teodor Stefanut|UTCN|Tratarea cancerului mamar|Romanian|English|2010-05-03||YES|YES|YES|YES|YES|||
2836||Teodor Stefanut|UTCN|Human bones|English|English|2010-04-07||YES|YES|YES|YES|YES|||
2979||paola campione||Classes of Light for Parapneumonic Effusions and Empyema|English|English|||YES|||||||
3032||George M. Spyrou|Array|Metabasis|English|English|2006-05-20|YES|YES|YES|YES|YES|YES|||
3146||Dora Edreva|medical university plovdiv|Carotid Stenosis|English|English|2010-06-09||YES||YES|YES|YES|YES|YES|
3153||Dora Edreva|medical university plovdiv|Raynaud’s Syndrome|English|English|2010-06-09||YES||YES|YES|YES|YES|YES|
3160||Dora Edreva|medical university plovdiv|Visceral Aneurisms|English|English|2010-06-09||YES||YES|YES|YES|YES|YES|
3167||Dora Edreva|medical university plovdiv|Chronic Venous Insufficiency (CVI)|English|English|2010-06-09||YES||YES|YES|YES|YES|YES|
3176||Dora Edreva|medical university plovdiv|Abdominal Aorta Aneurysm (AAA)|English|English|2010-06-09||YES||YES|YES|YES|YES|YES|
3183||Dora Edreva|medical university plovdiv|Paget–Schroetter syndrome (PSS)|||2010-06-09||YES||YES|YES|YES|YES|YES|
3190||Dora Edreva|medical university plovdiv|Acute Upper Extremity Ischemia|English|English|2010-06-09||YES||YES|YES|YES|YES|YES|
3204||Evangelia Mitsopoulou||Complete heart block Repurposed|English|English|2010-01-01||YES|YES|YES|YES|YES|YES|YES|
3215||Evangelia Mitsopoulou||Ischaemic chest pain_Repurposed|English|English|2010-01-01||YES|YES|YES|YES|YES|YES|YES|
3227||Evangelia Mitsopoulou||Pericarditis_Repurposed|English|English|2010-01-01||YES|YES|YES|YES|YES|YES|YES|
3234||Evangelia Mitsopoulou||Right bundle branch block1_Repurposed|English|English|2010-01-01||YES|YES|YES|YES|YES|YES|YES|
3241||Evangelia Mitsopoulou||Right bundle branch block2_Repurposed|English|English|2010-01-01||YES|YES|YES|YES|YES|YES|YES|
3248||Evangelia Mitsopoulou||Complete heart block|English|English|2010-01-01||YES|YES|YES|YES|YES|YES|YES|
3255||Evangelia Mitsopoulou||Ischaemic chest pain|English|English|2010-01-01||YES|YES|YES|YES|YES|YES|YES|
3262||Evangelia Mitsopoulou||Pericarditis|English|English|2010-01-01||YES|YES|YES|YES|YES|YES|YES|
3284||Timo Kuusi||Set of clinical questions in gastroenterology and nephrology 001|English|English|2010-06-15|YES|YES|YES|YES|YES|YES|YES|YES|
3349||Álvaro Salvá||Mayo Clinic Consultation: Subject D-B|English|English|2009-09-03||YES|YES|YES|||||
3370||Philip Davies||Dépistage du cancer du col de l’utérus|French|English|2009-09-15|YES|YES|YES|YES|YES|YES|YES|YES|
3377||Philip Davies||Papillomavirus Humain (HPV) et le cancer du col de l’utérus|French|English|2009-09-15|YES|YES|YES|YES|YES|YES|YES|YES|
3384||Philip Davies||Surveillance et traitement d’un frottis anormal|French|English|2009-09-15|YES|YES|YES|YES|YES|YES|YES|YES|
3391||Philip Davies||Vaccination contre le virus HPV et le cancer du col de l’utérus|French|English|2009-09-15|YES|YES|YES|YES|YES|YES|YES|YES|
3402||Eleni Dafli||Differential diagnosis of chest pain||||||||||||
3410||Eleni Dafli||Chest pain session in a 3D virtual learning environment|English|English|2010-07-20|YES|YES|YES|YES|YES|YES|||
3424||Dora Edreva|medical university plovdiv|VENTILATION/OXYGENATION THERAPY IN CHILDHOOD Chapter1|Bulgarian|English|2010-07-22||YES|YES|YES|YES|YES|YES|YES|
3431||Dora Edreva|medical university plovdiv|Oxygenation therapy|English|English|2010-07-22|||YES||||||
3438||Marios Neofytou||A rare  case of intestinal obstruction|English|English||||||||||
3445||Dora Edreva|medical university plovdiv|VENTILATION/OXYGENATION THERAPY IN CHILDHOOD Chapter2|Bulgarian|English|2010-07-22|YES|YES|YES|YES|YES|YES|YES|YES|
3452||Dora Edreva|medical university plovdiv|Itroduction in mechanical ventilation|English|English|2010-07-22|||YES||||||
3473||Evangelia Mitsopoulou||Right bundle branch block1|English|English|2010-01-01||YES|YES|YES|YES|YES|YES|YES|
3480||Evangelia Mitsopoulou||Right bundle branch block2|English|English|2010-01-01||YES|YES|YES|YES|YES|YES|YES|
3487||Evangelia Mitsopoulou||Progressing myocardial infarction_Repurposed|English|English|2010-01-01||YES|YES|YES|YES|YES|YES|YES|
3494||Evangelia Mitsopoulou||Progressing myocardial infarction||||||||||||
3501||Philip Davies||Dépistage du cancer du col de l’utérus|French|English|2009-09-08||YES|YES|YES|YES|YES|YES|YES|
3508||Philip Davies||Papillomavirus Humain (HPV) et le cancer du col de l’utérus|French|English|2009-09-15||YES|YES|YES|YES|YES|YES|YES|
3515||Philip Davies||Surveillance et traitement d’un frottis anormal|French|English|2009-09-15||YES|YES|YES|YES|YES|YES|YES|
3522||Philip Davies||Vaccination contre le virus HPV et le cancer du col de l’utérus|French|English|2009-09-15||YES|YES|YES|YES|YES|YES|YES|
3533||Philip Davies||Prevencija raka grlića maternice|Bosnian|English|2009-08-07||YES|YES|YES|YES|YES|YES|YES|
3540||Philip Davies||Humani papillomavirus (HPV) i rak grlića maternice|Bosnian|English|2009-08-07||YES|YES|YES|YES|YES|YES|YES|
3547||Philip Davies||Praćenje i liječenje žena s abnormalnim Papa-nalazom|Bosnian|English|2009-08-07||YES|YES|YES|YES|YES|YES|YES|
3554||Philip Davies||Vakcinacija protiv HPV i raka grlića|Bosnian|English|2009-08-07||YES|YES|YES|YES|YES|YES|YES|
3565||Philip Davies||Скрининг за рак на маточната шийка|Bulgarian|English|2009-06-09||YES|YES|YES|YES|YES|YES|YES|
3572||Philip Davies||Човешки Папиломен Вирус (HPV) и рак на маточната шийка|Bulgarian|English|2009-06-09||YES|YES|YES|YES|YES|YES|YES|
3579||Philip Davies||какво следва, когато резултатът ОТ ЦИТОНАМАЗКА не е „нормален”?|Bulgarian|English|2009-06-09||YES|YES|YES|YES|YES|YES|YES|
3586||Philip Davies||Ваксиниране срещу HPV и рак на маточната шийка|Bulgarian|English|2009-06-09||YES|YES|YES|YES|YES|YES|YES|
3608||Philip Davies||Probir raka vrata maternice|Croatian|English|2009-05-22||YES|YES|YES|YES|YES|YES|YES|
3615||Philip Davies||Humani papiloma virus (HPV) i rak|Croatian|English|2009-05-22||YES|YES|YES|YES|YES|YES|YES|
3622||Philip Davies||Praćenje i liječenje žena s abnormalnim Papa-nalazom|Croatian|English|2009-05-22||YES|YES|YES|YES|YES|YES|YES|
3629||Philip Davies||Cijepljenje protiv HPV-a i raka vrata|Croatian|English|2009-05-22||YES|YES|YES|YES|YES|YES|YES|
