GUID|COUNT|VALUE1|ONTOLOGY1|VALUE2|ONTOLOGY2|VALUE3|ONTOLOGY3|VALUE4|ONTOLOGY4|VALUE5|ONTOLOGY5|VALUE6|ONTOLOGY6|VALUE7|ONTOLOGY7|VALUE8|ONTOLOGY8|VALUE9|ONTOLOGY9|VALUE10|ONTOLOGY10 
2672|1|Aerospace Medicine|||||||||||||||||||
2681|1|Medicine|||||||||||||||||||
2688|1|Dentisry|||||||||||||||||||
2717|||||||||||||||||||||
2724|||||||||||||||||||||
2731|1|Anatomy|||||||||||||||||||
2738|1|biology, medicine|||||||||||||||||||
2745|1|biology, medicine|||||||||||||||||||
2752|1|Medicine|||||||||||||||||||
2759|1|Medicine|||||||||||||||||||
2766|1|medicine|||||||||||||||||||
2773|1|medicine|||||||||||||||||||
2780|1|medicine|||||||||||||||||||
2787|1|medicine|||||||||||||||||||
2794|1|medicine|||||||||||||||||||
2801|1|medicine|||||||||||||||||||
2815|1|medicina|||||||||||||||||||
2822|1|medicine|||||||||||||||||||
2829|1|medicine|||||||||||||||||||
2836|1|medicine|||||||||||||||||||
2979|||||||||||||||||||||
3032|1|Bioinformatics|||||||||||||||||||
3146|1|Medicine|||||||||||||||||||
3153|1|Medicine|||||||||||||||||||
3160|1|Medicine|||||||||||||||||||
3167|1|Medicine|||||||||||||||||||
3176|1|Medicine|||||||||||||||||||
3183|1|Medicine|||||||||||||||||||
3190|1|Medicine|||||||||||||||||||
3204|1|Cardiac Care|||||||||||||||||||
3215|1|Cardiac Care|||||||||||||||||||
3227|1|Cardiac Care|||||||||||||||||||
3234|1|Cardiac Care|||||||||||||||||||
3241|1|Cardiac Care|||||||||||||||||||
3248|1|Cardiac Care|||||||||||||||||||
3255|1|Cardiac Care|||||||||||||||||||
3262|1|Cardiac Care|||||||||||||||||||
3284|1|Internal medicine|||||||||||||||||||
3349|1|neurology|||||||||||||||||||
3370|1|Primary healthcare providers|||||||||||||||||||
3377|1|Primary healthcare providers|||||||||||||||||||
3384|1|Primary healthcare providers|||||||||||||||||||
3391|1|Primary healthcare providers|||||||||||||||||||
3402|||||||||||||||||||||
3410|1|medicine|||||||||||||||||||
3424|1|Medicine|||||||||||||||||||
3431|1|Medicine|||||||||||||||||||
3438|||||||||||||||||||||
3445|1|Medicine|||||||||||||||||||
3452|1|Medicine|||||||||||||||||||
3473|1|Cardiac Care|||||||||||||||||||
3480|1|Cardiac Care|||||||||||||||||||
3487|1|Cardiac Care|||||||||||||||||||
3494|||||||||||||||||||||
3501|1|Primary healthcare providers|||||||||||||||||||
3508|1|Primary healthcare providers|||||||||||||||||||
3515|1|Primary healthcare providers|||||||||||||||||||
3522|1|Primary healthcare providers|||||||||||||||||||
3533|1|Primary healthcare providers|||||||||||||||||||
3540|1|Primary healthcare providers|||||||||||||||||||
3547|1|Primary healthcare providers|||||||||||||||||||
3554|1|Primary healthcare providers|||||||||||||||||||
3565|1|Primary healthcare providers|||||||||||||||||||
3572|1|Primary healthcare providers|||||||||||||||||||
3579|||||||||||||||||||||
3586|1|Primary healthcare providers|||||||||||||||||||
3608|1|Primary healthcare providers|||||||||||||||||||
3615|1|Primary healthcare providers|||||||||||||||||||
3622|1|Primary healthcare providers|||||||||||||||||||
3629|1|Primary healthcare providers|||||||||||||||||||
3647|1|Primary healthcare providers|||||||||||||||||||
3654|1|Primary healthcare providers|||||||||||||||||||
3661|1|Primary healthcare providers|||||||||||||||||||
3668|1|Primary healthcare providers|||||||||||||||||||
3695|1|medicine, biology, health sciences|||||||||||||||||||
3702|1|medicine, biology|||||||||||||||||||
3709|1|medicine, paramedics, technologists|||||||||||||||||||
3716|1|Primary healthcare providers|||||||||||||||||||
3723|1|Primary healthcare providers|||||||||||||||||||
3730|1|Primary healthcare providers|||||||||||||||||||
3737|1|Primary healthcare providers|||||||||||||||||||
3748|1|Primary healthcare providers|||||||||||||||||||
3755|1|Primary healthcare providers|||||||||||||||||||
3762|1|Primary healthcare providers|||||||||||||||||||
3769|1|Primary healthcare providers|||||||||||||||||||
3804|1|Primary healthcare providers|||||||||||||||||||
3811|1|Primary healthcare providers|||||||||||||||||||
3818|1|Primary healthcare providers|||||||||||||||||||
3825|1|Primary healthcare providers|||||||||||||||||||
3836|1|Primary healthcare providers|||||||||||||||||||
3843|1|Primary healthcare providers|||||||||||||||||||
3850|1|Primary healthcare providers|||||||||||||||||||
3857|1|Primary healthcare providers|||||||||||||||||||
3868|1|Primary healthcare providers|||||||||||||||||||
3875|1|Primary healthcare providers|||||||||||||||||||
3882|1|Primary healthcare providers|||||||||||||||||||
3889|1|Primary healthcare providers|||||||||||||||||||
3934|1|Primary healthcare providers|||||||||||||||||||
3941|1|Primary healthcare providers|||||||||||||||||||
3948|1|Primary healthcare providers|||||||||||||||||||
3955|1|Primary healthcare providers|||||||||||||||||||
3966|1|Primary healthcare providers|||||||||||||||||||
3973|1|Primary healthcare providers|||||||||||||||||||
3980|1|Primary healthcare providers|||||||||||||||||||
3990|1|Primary healthcare providers|||||||||||||||||||
3997|1|Primary healthcare providers|||||||||||||||||||
4004|1|Primary healthcare providers|||||||||||||||||||
4011|1|Primary healthcare providers|||||||||||||||||||
4022|1|Primary healthcare providers|||||||||||||||||||
4029|1|Primary healthcare providers|||||||||||||||||||
4036|1|Primary healthcare providers|||||||||||||||||||
4043|1|Primary healthcare providers|||||||||||||||||||
4150|1|Медицина|||||||||||||||||||
4157|||||||||||||||||||||
4164|||||||||||||||||||||
4171|||||||||||||||||||||
4178|||||||||||||||||||||
4185|||||||||||||||||||||
4192|||||||||||||||||||||
4199|||||||||||||||||||||
4206|||||||||||||||||||||
4213|||||||||||||||||||||
4220|||||||||||||||||||||
4227|||||||||||||||||||||
4234|||||||||||||||||||||
4241|||||||||||||||||||||
4248|||||||||||||||||||||
4255|||||||||||||||||||||
4262|||||||||||||||||||||
4269|||||||||||||||||||||
4276|1|Medicine|||||||||||||||||||
4283|1|Medicine|||||||||||||||||||
4290|1|Medicine|||||||||||||||||||
4297|1|Medicine|||||||||||||||||||
4304|1|Medicine|||||||||||||||||||
4311|1|Medicine|||||||||||||||||||
4318|1|Medicine|||||||||||||||||||
4325|1|Medicine|||||||||||||||||||
4332|||||||||||||||||||||
4339|||||||||||||||||||||
4346|||||||||||||||||||||
4353|||||||||||||||||||||
4360|1|Medicine|||||||||||||||||||
4367|1|Medicine|||||||||||||||||||
4374|1|Medicine|||||||||||||||||||
4381|1|Medicine|||||||||||||||||||
4388|1|Medicine|||||||||||||||||||
4395|1|Medicine|||||||||||||||||||
4402|1|Medicine|||||||||||||||||||
4409|1|Medicine|||||||||||||||||||
4416|1|Medicine|||||||||||||||||||
4423|1|Medicine|||||||||||||||||||
4430|1|Medicine|||||||||||||||||||
4437|1|Medicine|||||||||||||||||||
4444|1|Medicine|||||||||||||||||||
4451|1|Medicine|||||||||||||||||||
4458|1|Medicine|||||||||||||||||||
4465|||||||||||||||||||||
4472|1|Medicine|||||||||||||||||||
4479|1|Medicine|||||||||||||||||||
4486|1|Medicine|||||||||||||||||||
4493|1|Medicine|||||||||||||||||||
4500|1|Medicine|||||||||||||||||||
4507|1|Medicine|||||||||||||||||||
4568|||||||||||||||||||||
4575|||||||||||||||||||||
4582|||||||||||||||||||||
4589|||||||||||||||||||||
4596|||||||||||||||||||||
4603|||||||||||||||||||||
4610|||||||||||||||||||||
4633|1|Biology|||||||||||||||||||
4640|1|Biology|||||||||||||||||||
4799|1|Medicine|||||||||||||||||||
4813|1|Medicine|||||||||||||||||||
4820|1|Medicine|||||||||||||||||||
4827|1|Medicine|||||||||||||||||||
4865|1|Medicine|||||||||||||||||||
4873|1|Medicine|||||||||||||||||||
5476|1|Medicine|||||||||||||||||||
5483|1|Medicine|||||||||||||||||||
5490|1|Medicine|||||||||||||||||||
5497|1|Medicine|||||||||||||||||||
5504|1|Medicine|||||||||||||||||||
5511|1|Medicine|||||||||||||||||||
5518|1|Medicine|||||||||||||||||||
5539|1|Medicine|||||||||||||||||||
5554|1|Medicine|||||||||||||||||||
5561|1|Medicine|||||||||||||||||||
5568|1|Medicine|||||||||||||||||||
5575|1|Medicine|||||||||||||||||||
5582|1|Medicine|||||||||||||||||||
5589|1|Medicine|||||||||||||||||||
5596|1|Medicine|||||||||||||||||||
5603|1|Medicine|||||||||||||||||||
5610|1|Medicine|||||||||||||||||||
5617|1|Medicine|||||||||||||||||||
5624|1|Medicine|||||||||||||||||||
5631|1|Medicine|||||||||||||||||||
5638|1|Medicine|||||||||||||||||||
5645|1|Medicine|||||||||||||||||||
5652|1|Medicine|||||||||||||||||||
8163|1|medicine|||||||||||||||||||
11464|||||||||||||||||||||
12246|||||||||||||||||||||
12253|||||||||||||||||||||
12715|||||||||||||||||||||
12736|||||||||||||||||||||
15209|||||||||||||||||||||
15608|||||||||||||||||||||
15615|||||||||||||||||||||
15622|||||||||||||||||||||
15629|||||||||||||||||||||
15636|||||||||||||||||||||
15643|||||||||||||||||||||
15650|||||||||||||||||||||
15657|||||||||||||||||||||
15664|||||||||||||||||||||
15671|||||||||||||||||||||
15678|||||||||||||||||||||
15685|||||||||||||||||||||
15692|||||||||||||||||||||
15699|||||||||||||||||||||
15706|||||||||||||||||||||
15713|||||||||||||||||||||
15720|||||||||||||||||||||
21804|1|Cardiology|Health Level Seven||||||||||||||||||
