GUID|COUNT|VALUE1|ONTOLOGY1|VALUE2|ONTOLOGY2|VALUE3|ONTOLOGY3|VALUE4|ONTOLOGY4|VALUE5|ONTOLOGY5|VALUE6|ONTOLOGY6|VALUE7|ONTOLOGY7|VALUE8|ONTOLOGY8|VALUE9|ONTOLOGY9|VALUE10|ONTOLOGY10 
3547|||||||||||||||||||||
3554|||||||||||||||||||||
3565|||||||||||||||||||||
3572|||||||||||||||||||||
3579|||||||||||||||||||||
3586|||||||||||||||||||||
3608|||||||||||||||||||||
3615|||||||||||||||||||||
3622|||||||||||||||||||||
3629|||||||||||||||||||||
3647|||||||||||||||||||||
3654|||||||||||||||||||||
3661|||||||||||||||||||||
3668|||||||||||||||||||||
3695|||||||||||||||||||||
3702|||||||||||||||||||||
3709|1|radiology|||||||||||||||||||
3716|||||||||||||||||||||
3723|||||||||||||||||||||
3730|||||||||||||||||||||
3737|||||||||||||||||||||
3748|||||||||||||||||||||
3755|||||||||||||||||||||
3762|||||||||||||||||||||
3769|||||||||||||||||||||
3804|||||||||||||||||||||
3811|||||||||||||||||||||
3818|||||||||||||||||||||
3825|||||||||||||||||||||
3836|||||||||||||||||||||
3843|||||||||||||||||||||
3850|||||||||||||||||||||
3857|||||||||||||||||||||
3868|||||||||||||||||||||
3875|||||||||||||||||||||
3882|||||||||||||||||||||
3889|||||||||||||||||||||
3934|||||||||||||||||||||
3941|||||||||||||||||||||
3948|||||||||||||||||||||
3955|||||||||||||||||||||
3966|||||||||||||||||||||
3973|||||||||||||||||||||
3980|||||||||||||||||||||
3990|||||||||||||||||||||
3997|||||||||||||||||||||
4004|||||||||||||||||||||
4011|||||||||||||||||||||
4022|||||||||||||||||||||
4029|||||||||||||||||||||
4036|||||||||||||||||||||
4043|||||||||||||||||||||
4150|1|Ендокринология|||||||||||||||||||
4157|||||||||||||||||||||
4164|||||||||||||||||||||
4171|||||||||||||||||||||
4178|||||||||||||||||||||
4185|||||||||||||||||||||
4192|||||||||||||||||||||
4199|||||||||||||||||||||
4206|||||||||||||||||||||
4213|||||||||||||||||||||
4220|||||||||||||||||||||
4227|||||||||||||||||||||
4234|||||||||||||||||||||
4241|||||||||||||||||||||
4248|||||||||||||||||||||
4255|||||||||||||||||||||
4262|||||||||||||||||||||
4269|||||||||||||||||||||
4276|1|Neonatology, Paediatrics, Intensive  Care|||||||||||||||||||
4283|1|Neonatology, Paediatrics, Intensive  Care|||||||||||||||||||
4290|1|Neonatology, Paediatrics, Intensive  Care|||||||||||||||||||
4297|1|Neonatology, Paediatrics, Intensive  Care|||||||||||||||||||
4304|1|Neonatology, Paediatrics, Intensive  Care|||||||||||||||||||
4311|1|Neonatology, Paediatrics, Intensive  Care|||||||||||||||||||
4318|1|Neonatology, Paediatrics, Intensive  Care|||||||||||||||||||
4325|1|Neonatology, Paediatrics, Intensive  Care|||||||||||||||||||
4332|||||||||||||||||||||
4339|||||||||||||||||||||
4346|||||||||||||||||||||
4353|||||||||||||||||||||
4360|1|Neonatology, Paediatrics, Intensive  Care|||||||||||||||||||
4367|1|Neonatology, Paediatrics, Intensive  Care|||||||||||||||||||
4374|1|Neonatology, Paediatrics, Intensive  Care|||||||||||||||||||
4381|1|Neonatology, Paediatrics, Intensive  Care|||||||||||||||||||
4388|1|Neonatology, Paediatrics, Intensive  Care|||||||||||||||||||
4395|1|Neonatology, Paediatrics, Intensive  Care|||||||||||||||||||
4402|1|Neonatology, Paediatrics, Intensive  Care|||||||||||||||||||
4409|1|Neonatology, Paediatrics, Intensive  Care|||||||||||||||||||
4416|1|Neonatology, Paediatrics, Intensive  Care|||||||||||||||||||
4423|1|Neonatology, Paediatrics, Intensive  Care|||||||||||||||||||
4430|1|Neonatology, Paediatrics, Intensive  Care|||||||||||||||||||
4437|1|Neonatology, Paediatrics, Intensive  Care|||||||||||||||||||
4444|1|Neonatology, Paediatrics, Intensive  Care|||||||||||||||||||
4451|1|Neonatology, Paediatrics, Intensive  Care|||||||||||||||||||
4458|1|Neonatology, Paediatrics, Intensive  Care|||||||||||||||||||
4465|||||||||||||||||||||
4472|1|Neonatology, Paediatrics, Intensive  Care|||||||||||||||||||
4479|1|Neonatology, Paediatrics, Intensive  Care|||||||||||||||||||
4486|1|Neonatology, Paediatrics, Intensive  Care|||||||||||||||||||
4493|1|Neonatology, Paediatrics, Intensive  Care|||||||||||||||||||
4500|||||||||||||||||||||
4507|1|Neonatology, Paediatrics, Intensive  Care|||||||||||||||||||
4568|||||||||||||||||||||
4575|||||||||||||||||||||
4582|||||||||||||||||||||
4589|||||||||||||||||||||
4596|||||||||||||||||||||
4603|||||||||||||||||||||
4610|||||||||||||||||||||
4633|||||||||||||||||||||
4640|||||||||||||||||||||
4799|1|Surgery; Emergency Medicine|||||||||||||||||||
4813|1|Surgery; Emergency Medicine|||||||||||||||||||
4820|1|Surgery; Emergency Medicine|||||||||||||||||||
4827|1|Surgery; Emergency Medicine|||||||||||||||||||
4865|1|Neurology; Family Medicine; Emergency Medicine|||||||||||||||||||
4873|1|General Surgery; Gastroenterology; Family Medicine; Emergency Medicine|||||||||||||||||||
5476|1|General Surgery;  Emergency Medicine; Intensive Care; Family Medicine|||||||||||||||||||
5483|1|General Surgery;  Emergency Medicine; Intensive Care; Family Medicine|||||||||||||||||||
5490|1|General Surgery;  Emergency Medicine; Intensive Care; Family Medicine|||||||||||||||||||
5497|1|General Surgery;  Emergency Medicine; Intensive Care; Family Medicine|||||||||||||||||||
5504|1|General Surgery;  Emergency Medicine; Intensive Care; Family Medicine|||||||||||||||||||
5511|1|General Surgery;  Emergency Medicine; Intensive Care; Family Medicine|||||||||||||||||||
5518|1|General Surgery;  Emergency Medicine; Intensive Care; Family Medicine|||||||||||||||||||
5539|1|General Practice, ophthalmology|||||||||||||||||||
5554|1|General Practice, ophthalmology|||||||||||||||||||
5561|1|General Practice, ophthalmology|||||||||||||||||||
5568|1|General Practice, ophthalmology|||||||||||||||||||
5575|1|General Practice, Internal medicine|||||||||||||||||||
5582|1|General Practice, Internal medicine|||||||||||||||||||
5589|1|General Practice|||||||||||||||||||
5596|1|General Practice|||||||||||||||||||
5603|1|General Practice|||||||||||||||||||
5610|1|General Practice|||||||||||||||||||
5617|1|General Practice|||||||||||||||||||
5624|1|General Practice|||||||||||||||||||
5631|1|General Practice|||||||||||||||||||
5638|1|General Practice|||||||||||||||||||
5645|1|General Practice|||||||||||||||||||
5652|1|General Practice|||||||||||||||||||
8163|1|thérapeutique|||||||||||||||||||
11464|||||||||||||||||||||
12246|||||||||||||||||||||
12253|||||||||||||||||||||
12715|||||||||||||||||||||
12736|||||||||||||||||||||
15209|||||||||||||||||||||
15608|||||||||||||||||||||
15615|||||||||||||||||||||
15622|||||||||||||||||||||
15629|||||||||||||||||||||
15636|||||||||||||||||||||
15643|||||||||||||||||||||
15650|||||||||||||||||||||
15657|||||||||||||||||||||
15664|||||||||||||||||||||
15671|||||||||||||||||||||
15678|||||||||||||||||||||
15685|||||||||||||||||||||
15692|||||||||||||||||||||
15699|||||||||||||||||||||
15706|||||||||||||||||||||
15713|||||||||||||||||||||
15720|||||||||||||||||||||
21804|||||||||||||||||||||
