GUID|COUNT|VALUE1|VALUE2|VALUE3|VALUE4|VALUE5|VALUE6|VALUE7|VALUE8|VALUE9|VALUE10 
2647|1|CME|||||||||
2656|1|CME|||||||||
2665|1|CME|||||||||
2672|1|CME|||||||||
2681|||||||||||
2688|||||||||||
2717|||||||||||
2724|||||||||||
2731|||||||||||
2738|1|undergraduate|||||||||
2745|1|undergraduate, continuing education|||||||||
2752|1|postgraduate medical students|||||||||
2759|1|postgraduate medical students|||||||||
2766|||||||||||
2773|||||||||||
2780|||||||||||
2787|||||||||||
2794|1|undergraduate, public|||||||||
2801|1|undergraduate|||||||||
2815|1|student, public larg|||||||||
2822|1|undergraduate, general public|||||||||
2829|1|undergraduate, general public|||||||||
2836|1|undergraduate|||||||||
2979|||||||||||
3032|1|Postgraduate|||||||||
3146|1|Medical students of appropriate  year of study  (4-th year in BG)|||||||||
3153|1|Medical students of appropriate  year of study  (4-th year in BG)|||||||||
3160|1|Medical students of appropriate  year of study  (4-th year in BG)|||||||||
3167|1|Medical students of appropriate  year of study  (4-th year in BG)|||||||||
3176|1|Medical students of appropriate  year of study  (4-th year in BG)|||||||||
3183|1|Medical students of appropriate  year of study  (4-th year in BG)|||||||||
3190|1|Medical students of appropriate  year of study  (4-th year in BG)|||||||||
3204|1|Level 4, 5 & 6|||||||||
3215|1|Level 4, 5 & 6|||||||||
3227|1|Level 4, 5 & 6|||||||||
3234|1|Level 4, 5 & 6|||||||||
3241|1|Level 4, 5 & 6|||||||||
3248|1|Level 4, 5 & 6|||||||||
3255|1|Level 4, 5 & 6|||||||||
3262|1|Level 4, 5 & 6|||||||||
3284|1|clinical|||||||||
3349|||||||||||
3370|1|general public|||||||||
3377|1|General public|||||||||
3384|1|General public|||||||||
3391|1|General public|||||||||
3402|||||||||||
3410|1|undergraduate medical students|||||||||
3424|1|PhD – students, MD, anaesthesiologists, paediatricians, intensivists|||||||||
3431|1|PhD – students, MD, anaesthesiologists, paediatricians, intensivists|||||||||
3438|||||||||||
3445|1|PhD – students, MD, anaesthesiologists, paediatricians, intensivists|||||||||
3452|1|PhD – students, MD, anaesthesiologists, paediatricians, intensivists|||||||||
3473|1|Paramedic Practice|||||||||
3480|1|Level 4, 5 & 6|||||||||
3487|1|Level 4, 5 & 6|||||||||
3494|||||||||||
3501|1|General public|||||||||
3508|1|General public|||||||||
3515|1|General public|||||||||
3522|1|General public|||||||||
3533|1|General public|||||||||
3540|1|General public|||||||||
3547|1|General public|||||||||
3554|1|General public|||||||||
3565|1|General public|||||||||
3572|1|General public|||||||||
3579|1|General public|||||||||
3586|1|General public|||||||||
3608|1|General public|||||||||
3615|1|General public|||||||||
3622|1|General public|||||||||
3629|1|General public|||||||||
3647|1|General public|||||||||
3654|1|General public|||||||||
3661|1|General public|||||||||
3668|1|General public|||||||||
3695|1|undergraduate|||||||||
3702|1|undergraduate|||||||||
3709|1|continuing education|||||||||
3716|1|General public|||||||||
3723|1|General public|||||||||
3730|1|General public|||||||||
3737|1|General public|||||||||
3748|1|General public|||||||||
3755|1|General public|||||||||
3762|1|General public|||||||||
3769|1|General public|||||||||
3804|1|General public|||||||||
3811|1|General public|||||||||
3818|1|General public|||||||||
3825|1|General public|||||||||
3836|1|General public|||||||||
3843|1|General public|||||||||
3850|||||||||||
3857|1|General public|||||||||
3868|1|General public|||||||||
3875|1|General public|||||||||
3882|1|General public|||||||||
3889|1|General public|||||||||
3934|1|General public|||||||||
3941|1|General public|||||||||
3948|1|General public|||||||||
3955|1|General public|||||||||
3966|1|General public|||||||||
3973|1|General public|||||||||
3980|1|General public|||||||||
3990|1|General public|||||||||
3997|1|General public|||||||||
4004|1|General public|||||||||
4011|1|General public|||||||||
4022|1|General public|||||||||
4029|1|General public|||||||||
4036|1|General public|||||||||
4043|1|General public|||||||||
4150|1|Ниво: висше образование: медицина •	5 курс|||||||||
4157|1|Ниво: висше образование: медицина •	5 курс|||||||||
4164|1|Ниво: висше образование: медицина •	5 курс|||||||||
4171|1|Ниво: висше образование: медицина •	5 курс|||||||||
4178|1|Ниво: висше образование: медицина •	5 курс|||||||||
4185|1|Ниво: висше образование: медицина •	5 курс|||||||||
4192|1|Ниво: висше образование: медицина •	5 курс|||||||||
4199|1|Ниво: висше образование: медицина •	5 курс|||||||||
4206|1|Ниво: висше образование: медицина •	5 курс|||||||||
4213|1|Ниво: висше образование: медицина •	5 курс|||||||||
4220|||||||||||
4227|||||||||||
4234|||||||||||
4241|||||||||||
4248|||||||||||
4255|||||||||||
4262|||||||||||
4269|||||||||||
4276|1|PhD – students, MD, anaesthesiologists, paediatricians, intensivists|||||||||
4283|1|PhD – students, MD, anaesthesiologists, paediatricians, intensivists|||||||||
4290|1|PhD – students, MD, anaesthesiologists, paediatricians, intensivists|||||||||
4297|1|PhD – students, MD, anaesthesiologists, paediatricians, intensivists|||||||||
4304|1|PhD – students, MD, anaesthesiologists, paediatricians, intensivists|||||||||
4311|1|PhD – students, MD, anaesthesiologists, paediatricians, intensivists|||||||||
4318|1|PhD – students, MD, anaesthesiologists, paediatricians, intensivists|||||||||
4325|1|PhD – students, MD, anaesthesiologists, paediatricians, intensivists|||||||||
4332|||||||||||
4339|||||||||||
4346|||||||||||
4353|||||||||||
4360|1|PhD – students, MD, anaesthesiologists, paediatricians, intensivists|||||||||
4367|1|PhD – students, MD, anaesthesiologists, paediatricians, intensivists|||||||||
4374|1|PhD – students, MD, anaesthesiologists, paediatricians, intensivists|||||||||
4381|1|PhD – students, MD, anaesthesiologists, paediatricians, intensivists|||||||||
4388|||||||||||
4395|1|PhD – students, MD, anaesthesiologists, paediatricians, intensivists|||||||||
4402|1|PhD – students, MD, anaesthesiologists, paediatricians, intensivists|||||||||
4409|1|PhD – students, MD, anaesthesiologists, paediatricians, intensivists|||||||||
4416|1|PhD – students, MD, anaesthesiologists, paediatricians, intensivists|||||||||
4423|1|PhD – students, MD, anaesthesiologists, paediatricians, intensivists|||||||||
4430|1|PhD – students, MD, anaesthesiologists, paediatricians, intensivists|||||||||
4437|||||||||||
4444|1|PhD – students, MD, anaesthesiologists, paediatricians, intensivists|||||||||
4451|1|PhD – students, MD, anaesthesiologists, paediatricians, intensivists|||||||||
4458|||||||||||
4465|||||||||||
4472|||||||||||
4479|||||||||||
4486|1|PhD – students, MD, anaesthesiologists, paediatricians, intensivists|||||||||
4493|1|PhD – students, MD, anaesthesiologists, paediatricians, intensivists|||||||||
4500|1|PhD – students, MD, anaesthesiologists, paediatricians, intensivists|||||||||
4507|1|PhD – students, MD, anaesthesiologists, paediatricians, intensivists|||||||||
4568|||||||||||
4575|||||||||||
4582|||||||||||
4589|||||||||||
4596|||||||||||
4603|||||||||||
4610|||||||||||
4633|1|A levels|||||||||
4640|1|A levels, University entry level|||||||||
4799|1|Level: High school; medicine  •	4th course medical students|||||||||
4813|1|Level: High school; medicine  •	4th course medical students|||||||||
4820|1|Level: High school; medicine  •	4th course medical students|||||||||
4827|1|Level: High school; medicine  •	4th course medical students|||||||||
4865|1|Level: High school; medicine  •	4th course medical students|||||||||
4873|1|Level: High school; medicine  •	4th course medical students|||||||||
5476|1|Level: High school - medicine  •	4th course medical students|||||||||
5483|1|Level: High school - medicine  •	4th course medical students|||||||||
5490|1|Level: High school - medicine  •	4th course medical students|||||||||
5497|1|Level: High school - medicine  •	4th course medical students|||||||||
5504|1|Level: High school - medicine  •	4th course medical students|||||||||
5511|1|Level: High school - medicine  •	4th course medical students|||||||||
5518|1|Level: High school - medicine  •	4th course medical students|||||||||
5539|1|Undergraduate students|||||||||
5554|1|Postgraduate students, MD, PhD|||||||||
5561|1|Undergraduate students|||||||||
5568|1|Postgraduate students, MD, PhD|||||||||
5575|1|Undergraduate students|||||||||
5582|1|Postgraduate students, MD, PhD|||||||||
5589|1|Undergraduate students|||||||||
5596|1|Postgraduate students, MD, PhD|||||||||
5603|1|Undergraduate students|||||||||
5610|1|Postgraduate students, MD, PhD|||||||||
5617|||||||||||
5624|1|Postgraduate students, MD, PhD|||||||||
5631|1|Undergraduate students|||||||||
5638|1|Postgraduate students, MD, PhD|||||||||
5645|1|Undergraduate students|||||||||
5652|1|Postgraduate students, MD, PhD|||||||||
8163|||||||||||
11464|1| Undergraduate|||||||||
12246|||||||||||
12253|||||||||||
12715|||||||||||
12736|||||||||||
15209|||||||||||
15608|||||||||||
15615|||||||||||
15622|||||||||||
15629|||||||||||
15636|||||||||||
15643|||||||||||
15650|||||||||||
15657|||||||||||
15664|||||||||||
15671|||||||||||
15678|||||||||||
15685|||||||||||
15692|||||||||||
15699|||||||||||
15706|||||||||||
15713|||||||||||
15720|||||||||||
21804|||||||||||
