ID|NAME|LANGUAGE|CONTENT TYPES 
2122|acid base balance|English|algorithm
2130|Endoscopy image analyses|Greek,lecture notes,lecture presentation,image,video
2144|An elearning platform for Aerospace Medicine|English|scientific paper
2151|Informatics based Medical Procedure Assistance during Space Missions|English|scientific paper
2165|ECG short term risk acute myocardial infarction|English|algorithm
2172|Dynamic Prognostic Profile for Acute Myocardial Infarction|English|algorithm
2179|Training Doctors Health Telematics|Greek,lecture notes,lecture presentation,image,video,figure,graph,index,questionnaire,exam questions,algorithm,electronic traces of images
2186|Efavirenz Dose Reduction in an HIV1 Infected Patient Based on CYP2B6 Genotype|English|algorithm
2200|Boston Criteria for the Diagnosis of Congestive Heart Failure|English|algorithm
2208|mHealth eEmergency Systems and Services|English,lecture notes,lecture presentation,image,diagram,figure,graph,teaching case,blog,discussion forum
2217|Η ΔΙΑΣΦΑΛΙΣΗ ΤΗΣ ΠΟΙΟΤΗΤΑΣ ΤΗΣ ΙΑΤΡΙΚΗΣ ΠΛΗΡΟΦΟΡΙΑΣ ΣΤΟ ΔΙΑΔΙΚΤΥΟ|Greek,discussion forum,figure,image,lecture presentation,lecture notes
2224|COMPUTER AIDED DIAGNOSIS SYSTEMS|English,lecture notes,lecture presentation,image,diagram,figure,graph,algorithm,discussion forum
2231|Tehnici de adnotare grafica in eLearning|Romanian|scientific paper
2238|Happy Night episode 1|English|serious game
2245|Εκπαιδευτικα Προτυπα|Greek|lecture presentation
2252|Florian Virtual Patient|English|virtual patient
2259|Anna Lena Olofsson, Linear VP|English|virtual patient
2266|Anna Lena Olofsson Branched VP|English|virtual patient
2273|Oga Linear Virtual Patient|English|virtual patient
2280|Oga Branched Virtual Patient|English|virtual patient
2287|Florian Branched VP|English|virtual patient
2294|John M Linear VP|English|virtual patient
2302|Graphics Annotation Usability in eLearning Applications|English|scientific paper
2309|Hemodialysis and Peritoneal Dialysis|Greek,lecture presentation,video,narrative text
2316|John M Branched VP|English|virtual patient
2323|Catherine Miller Linear VP|English|virtual patient
2330|Catherine Miller Branched VP|English|virtual patient
2337|Heart Anatomy|English,teaching file,diagram,image,lecture presentation
2344|Heart Structure|English,teaching file,image,lecture presentation
2351|Muscles|NULL,lecture notes,image,teaching file
2358|SPSS video tutorial, Introduction to the Interface|Finnish|video
2365|SPSS video tutorial, Basics of entering variables and data|Finnish|video
2372|SPSS video tutorial, Basic analyses of frequencies and means|Finnish|video
2379|SPSS video tutorial, Basic analyses with crosstabulation|Finnish|video
2386|SPSS video tutorial, Basic graphics I|Finnish|video
2393|SPSS video tutorial, Basic graphics II|Finnish|video
2401|Knowledge Assessment Based on Evaluation of 3D Graphics Annotation in Lesson Context|English|scientific paper
2415|pleuriti e versamenti pleurici|NULL,NULL
2422|The pancreas: overview|English|lecture notes,multimedia medical lesson
2429|Biostatistics for epidemiology|French|lecture presentation
2436|Stomach cancer|French|lecture notes
2448|Physical Principles of MRI|Greek|lecture presentation
2464|Collection of laterolateral Xrays with basic and advanced cephalometric tracings|English,NULL
2471|Collection of laterolateral Xrays landmarked with cephalometric points|NULL,electronic traces of images,image
2478|Linee guida italiane di prevenzione e trattamento dell'ictus cerebrale|Italian|lecture presentation
2485|The Italian guidelines for stroke prevention and management|English,NULL
2492|Collection of skull Postero Anterior Xrays landmarked with cephalometric points|NULL,NULL
2499|Diagnosis of the Long Face syndrome|English|algorithm
2506|Strategie Terapeutiche delle Cefalee Primarie|Italian|lecture presentation
2513|Basi di Stimolazione Magnetica Transcranica|Italian|lecture presentation
2520|Revised Criteria of the rhCNTF ALS Group for the Diagnosis of Amyotrophic Lateral Sclerosis|English|algorithm
2527|Criteri per la Diagnosi ALS tramite esame clinico ed elettrofisiologico|English|algorithm
2534|Distance Medical Education|Greek,lecture presentation,image
2541|The therapeutic Benefits of Gravity in Space and on Earth|English|scientific paper
2548|Biomedical realtime monitoring in restricted and safetycritical environments|English|scientific paper
2555|High altitude cognitive performance and COPD interaction|English|scientific paper
2562|Chest pain virtual patient|English|virtual patient
2569|The Anamnestic and Clinical Dysfunction Indices of Helkimo for Disorders of the Temporomandibular Joint and Masticatory System|English|algorithm
2576|Temporomandibular Joint Disorders|English|algorithm
2583|DICOM Standard: An Introduction|English|lecture presentation
2590|DICOM Standard: An Introduction in SCORM|NULL,NULL
2597|Surgery Telematics|Greek|text
2604|Surgery Telematics: Presentation|Greek|lecture presentation
2611|MRI for Molecular Biology|Greek|lecture presentation
2618|Use of elearning environment for Greek Smoking Cessation Network|Greek|video
2625|Use of Greek Smoking Cessation Network EHR platform|Greek|video
2632|The use of Open Source and Web2.0 in developing an Integrated EHR and elearning System for the Greek Smoking Cessation Network|English|lecture presentation
2639|Creation of a Smoking Cessation Network|Greek|lecture presentation
2647|Simulating human space physiology with bed rest|English|scientific paper
2656|Legal Background of Aviation Medicine in Europe and its future development|English|serious game
2665|Future aeromedical assessment in general aviation: a contribution to the actual discussion|English|scientific paper
2672|A research facility for habitation questions to be built at the German Aerospace Center in Cologne: future challenges of Space medicine|English|scientific paper
2681|EEG Changes of Haider et al in Sedative Overdosage and Coma|English|algorithm
2688|The OMENS Classification for Hemifacial Microsomia|English|algorithm
2717|Happy Night episode 2|English|serious game
2724|Virtual Kitchen|French|serious game
2731|Massif Facial|French|serious game
2738|Πυρηνικός Μαγνητικός Συντονισμός: Φασματοσκοπία και Απεικόνιση|Greek|lecture notes
2745|Molecular Imaging Techniques: presentation|English|lecture presentation
2752|Electronic Health Record|Greek|wiki
2759|Term diagram for Medicine|Greek|blog
2766|ECG Patient case 1005a limb and chest leads|NULL,image,graph
2773|ECG Patient case 1005a limb leads|NULL,image,graph
2780|ECG case 1005a chest leads|NULL,graph,image
2787|ECG Patient case 1005a description|NULL|narrative text
2794|Boli metabolice|Romanian|lecture notes,multimedia medical teaching material
2801|Eye: introductory lesson|English|lecture notes,multimedia medical teaching material
2815|Bolile pancreasului|Romanian|lecture notes,materiale didactice medicale multimedia
2822|Human eye|English|lecture notes,multimedia medical teaching material
2829|Tratarea cancerului mamar|Romanian|lecture notes,multimedia medical teaching material
2836|Human bones|English|lecture notes,multimedia medical teaching material
2843|Lectures Endocrinology in English|English|lecture presentation
2850|Lectures Endocrinology|NULL|lecture presentation
2857|test during revewiiw|NULL,NULL
